I_real,I_imag,V_real,V_imag
545.8219305471648,184.17406816043905,4.25415,0
540.8330929448663,183.87842653419034,4.25981,0
543.2589210952589,185.1463313555396,4.25715,0
542.1075629896721,182.50156755052473,4.25011,0
538.3814232318862,184.51058441132494,4.26622,0
528.0650823844378,182.3288104012004,4.26181,0
515.0094944632748,178.6737410524616,4.24938,0
502.74474709363193,177.46391993518043,4.25262,0
491.58744697700826,177.27496326223593,4.25838,0
488.7844713994818,174.26928186783007,4.24349,0
487.97102639795236,174.18639952685433,4.24601,0
472.97777587873014,170.27118303990747,4.24386,0
468.83093455182666,170.51339590560264,4.24611,0
458.74333480297327,168.85572143947985,4.24685,0
456.38558982440867,166.34336002866664,4.23612,0
453.49416168728317,166.15042595355652,4.23705,0
450.1408056319892,165.70022330999961,4.23745,0
448.0986322301088,163.1746464666179,4.23205,0
452.86878884745596,163.51067052898526,4.22496,0
461.63425687717137,167.03936767559233,4.2249,0
465.80611241119595,166.98315443291963,4.22756,0
485.2859185503168,170.42371178264875,4.23576,0
504.2413770562532,173.282653169362,4.23804,0
521.5183659314672,178.59523789052233,4.24937,0
530.8488719745287,180.69657640190766,4.2538,0
530.4617994020879,181.82974722277737,4.25964,0
535.4189701630039,182.4612435959709,4.25797,0
536.8995169398139,182.53082192001006,4.25306,0
536.4201263752569,182.82507054436869,4.26053,0
531.1216766383934,181.33124478098583,4.25394,0
520.1039968951615,180.66260863188558,4.258,0
509.20632830009856,180.57129019900208,4.26587,0
496.52333326466504,177.94935298490506,4.26058,0
490.49459653285226,177.24529088546905,4.25221,0
486.9818210484469,175.66109129041206,4.25379,0
471.47435206535033,171.7881281129697,4.25691,0
463.77134267403903,168.6785989695169,4.24793,0
450.2341996263416,167.42763492275597,4.25196,0
449.2674837021821,166.38233577188865,4.25106,0
446.93738881519135,164.2039466275352,4.24117,0
444.0837681910911,164.4446734868638,4.24259,0
441.5138636405033,163.98034192315586,4.24878,0
444.14253084218143,162.545398584832,4.23277,0
455.4546658188887,165.41861285781732,4.22731,0
459.79070710871275,167.79388265806944,4.23227,0
462.4052810261691,167.0979602511938,4.23329,0
468.4664918476868,168.26799730168887,4.23486,0
474.57724447128135,172.6777324557098,4.25179,0
473.84577271483056,170.6145701758355,4.25167,0
475.3243239815395,171.95560419914332,4.25218,0
471.75900978488465,170.07240848469533,4.24395,0
479.18520831234054,171.62875100244364,4.24255,0
486.45003079558137,173.92582672788393,4.23951,0
490.1724519773783,174.9410596386246,4.24266,0
490.98013257845076,177.02528625664425,4.25122,0
492.2777032063417,176.36864134502196,4.25192,0
489.9188251420164,176.8229359428984,4.25663,0
484.11194407709155,175.14353542708633,4.25078,0
480.69617560288043,174.5605191925274,4.25469,0
470.56385686403326,170.17875747062448,4.25231,0
458.64966433390197,167.24222405361346,4.25339,0
451.967910663566,167.0144594081926,4.24962,0
448.6725455895537,164.6744627384278,4.24189,0
442.67062164355957,162.4785953370614,4.23772,0
437.5118523798054,162.18386187346564,4.24416,0
438.1103153363717,161.36920726044656,4.23903,0
436.54894920185785,159.88890960524353,4.23625,0
443.3215554365306,162.61476104688379,4.23541,0
446.8265688747918,164.20110569536644,4.22746,0
456.3194152379914,166.08089861828657,4.22929,0
460.2842601856598,167.5728072998118,4.23438,0
470.13047820368905,170.7933567588934,4.2425,0
481.6282897021275,172.95683022824957,4.23796,0
485.7118507624924,174.447281291152,4.24293,0
488.70488781076074,175.63988758500082,4.2499,0
492.6692497773593,177.08944413435236,4.24911,0
491.382499229018,176.0032095032479,4.24823,0
494.60718374666476,177.00307740599607,4.25365,0
496.6012227216768,177.76451353500093,4.25339,0
494.2642424505626,179.77750073569098,4.26438,0
482.25642292199785,177.19078936129608,4.26753,0
482.6374152698216,176.53210943810123,4.25887,0
482.65172114645577,174.44130055225983,4.25049,0
460.09626238663844,169.9039303925766,4.26278,0
458.21790559029284,168.41867686644937,4.24647,0
452.4816335914645,170.1226971876465,4.25587,0
450.11062937971377,168.37704608526047,4.25068,0
