time,x,y
79.84,357,419
80.04,362,421
80.24,366,423
80.44,369,425
80.64,374,427
80.84,378,430
81.04,383,432
81.24,386,434
81.44,376,427
81.64,361,427
81.84,353,420
82.04,351,416
82.24,354,417
82.44,357,419
82.64,361,421
82.84,365,422
83.04,369,424
83.24,372,427
83.44,376,429
83.64,379,430
83.84,382,432
84.04,382,431
84.24,368,424
84.44,362,421
84.64,354,418
84.84,355,417
85.04,358,419
85.24,362,421
85.44,366,422
85.64,372,424
85.84,375,427
86.04,379,428
86.24,383,430
86.44,384,429
86.64,374,426
86.84,371,426
87.04,355,419
87.24,352,415
87.44,356,418
87.64,362,420
87.84,368,421
88.04,374,423
88.24,379,426
88.44,382,429
88.64,386,431
88.84,391,432
89.04,391,433
89.24,388,432
89.44,377,427
89.64,365,421
89.84,358,418
90.04,354,415
90.24,351,412
90.44,350,408
90.64,350,413
90.84,355,416
91.04,361,418
91.24,367,422
91.44,371,424
91.64,375,427
91.84,376,428
92.04,371,432
92.24,372,432
92.44,372,432
92.64,358,425
92.84,348,420
93.04,348,420
93.24,348,422
93.44,350,423
93.64,351,424
93.84,352,424
94.04,355,424
94.24,358,426
94.44,360,427
94.64,363,428
94.84,366,428
95.04,370,430
95.24,374,431
95.44,378,432
95.64,382,434
95.84,386,435
96.04,389,436
96.24,391,437
96.44,389,436
96.64,384,434
96.84,376,430
97.04,367,427
97.24,361,425
97.44,354,421
97.64,349,420
97.84,349,420
98.04,352,421
98.24,357,423
98.44,362,426
98.64,368,428
98.84,375,431
99.04,381,433
99.24,386,434
99.44,389,436
99.64,392,438
99.84,375,429
100.04,358,429
100.24,349,423
100.44,351,423
100.64,354,426
100.84,358,427
101.04,362,428
101.24,364,429
101.44,367,430
101.64,370,432
101.84,372,433
102.04,375,435
102.24,377,435
102.44,377,436
102.64,368,429
102.84,364,429
103.04,355,424
103.24,355,424
103.44,356,425
103.64,359,426
103.84,362,428
104.04,366,429
104.24,370,431
104.44,376,433
104.64,382,436
104.84,382,437
105.04,378,435
105.24,371,431
105.44,364,428
105.64,359,425
105.84,353,422
106.04,352,421
106.24,353,421
106.44,358,424
106.64,364,427
106.84,369,429
107.04,372,430
107.24,375,432
107.44,379,434
107.64,385,437
107.84,364,437
108.04,339,432
108.24,325,422
108.44,306,397
108.64,294,379
108.84,304,392
109.04,336,429
109.24,353,445
109.44,352,430
109.64,364,428
109.84,368,432
110.04,368,431
110.24,362,427
110.44,351,422
110.64,346,420
110.84,345,417
111.04,348,420
111.24,351,422
111.44,355,424
111.64,357,424
111.84,359,425
112.04,362,426
112.24,365,427
112.44,367,428
112.64,370,430
112.84,374,431
113.04,375,431
113.24,376,431
113.44,374,431
113.64,361,424
113.84,346,421
114.04,346,420
114.24,350,423
114.44,355,425
114.64,359,427
114.84,363,429
115.04,366,430
115.24,370,431
115.44,372,433
115.64,373,433
115.84,366,426
116.04,355,426
116.24,349,422
116.44,345,419
116.64,347,420
116.84,354,424
117.04,364,428
117.24,371,431
117.44,375,433
